## Pediatric RMS clinical trials drug map (auto-generated; do NOT hand-edit)
## Source: https://clinicaltrials.gov/api/v2/studies
## Condition query: rhabdomyosarcoma
## Generated: 2026-04-25 23:25 UTC
## Studies scanned: 374
## Drug rows: 310
## Schema: drug\tn_rms_trials\tmax_phase_in_rms\tany_recruiting\tany_pediatric\texample_nct\texample_title
##
## Phase 4 reads this file (when present) and upgrades pediatric_evidence to
## 'yes_trial' for any drug appearing here with any_pediatric=1, unless its
## existing pediatric_evidence is already 'yes_approved' (which outranks).
## To regenerate: bin/fetch_clinicaltrials.py
drug	n_rms_trials	max_phase_in_rms	any_recruiting	any_pediatric	example_nct	example_title
sorafenib tosylate	2	PHASE2	0	1	NCT01502410	Sorafenib Tosylate in Treating Younger Patients With Relapsed or Refractory Rhabdomyosarcoma, Wilms Tumor, Liver Cancer,
tazemetostat	2	PHASE2	1	1	NCT03155620	Targeted Therapy Directed by Genetic Testing in Treating Pediatric Patients With Relapsed or Refractory Advanced Solid T
tipifarnib	2	PHASE2	1	1	NCT04284774	Tipifarnib for the Treatment of Advanced Solid Tumors, Lymphoma, or Histiocytic Disorders With HRAS Gene Alterations, a 
ulixertinib	2	PHASE2	1	1	NCT03698994	Ulixertinib in Treating Patients With Advanced Solid Tumors, Non-Hodgkin Lymphoma, or Histiocytic Disorders With MAPK Pa
vemurafenib	2	PHASE2	1	1	NCT03220035	Vemurafenib in Treating Patients With Relapsed or Refractory Advanced Solid Tumors, Non-Hodgkin Lymphoma, or Histiocytic
voriconazole	2	NA	0	1	NCT00066599	Voriconazole in Preventing Fungal Infections in Children With Neutropenia After Chemotherapy
131i-omburtamab	1	NA	0	1	NCT05064306	131I-omburtamab for the Treatment of Central Nervous System/Leptomeningeal Neoplasms in Children and Young Adults
^1^1c-methionine	1	PHASE2	1	1	NCT01871766	Risk-Adapted Focal Proton Beam Radiation and/or Surgery in Patients With Low, Intermediate and High Risk Rhabdomyosarcom
abt-751	1	PHASE1	0	1	NCT00036959	ABT-751 in Treating Young Patients With Refractory Solid Tumors
acyclovir	1	PHASE3	0	1	NCT00045292	Valacyclovir in Preventing Cytomegalovirus Infection in Patients Who Are Undergoing Donor Stem Cell Transplantation
acyclovir sodium	1	PHASE3	0	1	NCT00045292	Valacyclovir in Preventing Cytomegalovirus Infection in Patients Who Are Undergoing Donor Stem Cell Transplantation
adavosertib	1	PHASE2	0	1	NCT02095132	Adavosertib and Irinotecan Hydrochloride in Treating Younger Patients With Relapsed or Refractory Solid Tumors
adr-529	1	PHASE2	0	1	NCT00001335	New Therapeutic Strategies for Patients With Ewing's Sarcoma Family of Tumors, High Risk Rhabdomyosarcoma, and Neuroblas
adriamycin	1	PHASE2	0	1	NCT00165139	Intensive Chemo-Radiotherapy With Peripheral Blood Progenitor Cell Rescue for Children With Advanced Neuroblastoma and S
afatinib	1	PHASE2	0	1	NCT02372006	Trial of Afatinib in Pediatric Tumours
albumin-paclitaxel injection	1	PHASE2	1	0	NCT06684327	Multi-cohort, Single-arm Phase II Study of Albumin-paclitaxel, Ifosfamide, and Cisplatin in the Treatment of Rare Advanc
aldesleukin	1	PHASE2	0	1	NCT00003408	Biological Therapy Following Chemotherapy and Peripheral Stem Cell Transplantation in Treating Patients With Cancer
alemtuzumab	1	PHASE1	0	1	NCT01625351	A Study of CD45RA+ Depleted Haploidentical Stem Cell Transplantation in Children With Relapsed or Refractory Solid Tumor
alisertib	1	PHASE2	0	1	NCT01154816	Alisertib in Treating Young Patients With Recurrent or Refractory Solid Tumors or Leukemia
alt803	1	PHASE1	0	0	NCT02890758	Phase I Trial of Universal Donor NK Cell Therapy in Combination With ALT803
alvocidib	1	PHASE1	0	1	NCT00012181	Flavopiridol in Treating Children With Relapsed or Refractory Solid Tumors or Lymphomas
amifostine trihydrate	1	PHASE1	0	1	NCT00003926	Amifostine to Protect From Side Effects of PSCT in Treating Patients With Solid Tumors
anlotinib+cyclophosphamide+vinorelbine	1	PHASE2	0	1	NCT07137884	Anlotinib Hydrochloride Capsules in Maintenance Treatment for Intermediate-High Risk Rhabdomyosarcoma in Children
anti-seizure prophylaxis	1	NA	0	1	NCT01505569	Auto Transplant for High Risk or Relapsed Solid or CNS Tumors
apatinib mesylate tablets	1	PHASE2	0	1	NCT03868852	Efficacy and Safety of Radiotherapy Combined With Apatinib Mesylate in the Treatment of Rhabdomyosarcoma in Children
arsenic trioxide	1	PHASE2	0	1	NCT00024258	Arsenic Trioxide in Treating Patients With Advanced Neuroblastoma or Other Childhood Solid Tumors
atezolizumab	1	PHASE2	1	1	NCT04796012	VITAS: Atezolizumab in Combination With Chemotherapy for Pediatric Relapsed/Refractory Solid Tumors
atra+vac	1	PHASE2	0	1	NCT07355855	A Clinical Study on the Efficacy and Safety of All-trans Retinoic Acid Combined With VAC Regimen in the Treatment of Int
atra+vac+anlotinib	1	PHASE2	0	1	NCT07355855	A Clinical Study on the Efficacy and Safety of All-trans Retinoic Acid Combined With VAC Regimen in the Treatment of Int
autologous dendritic cell vaccine	1	PHASE2	0	0	NCT01883518	Autologous Dendritic Cell Vaccine in Patients With Soft Tissue Sarcoma
autologous dendritic cell vaccine with adjuvant	1	PHASE1	0	1	NCT01241162	Decitabine Followed by a Cancer Antigen Vaccine for Patients With Neuroblastoma and Sarcoma
autologous stem cell infusion	1	NA	0	1	NCT01505569	Auto Transplant for High Risk or Relapsed Solid or CNS Tumors
b7-h3 car t cells	1	PHASE1	1	1	NCT04897321	B7-H3-Specific Chimeric Antigen Receptor Autologous T-Cell Therapy for Pediatric Patients With Solid Tumors (3CAR)
b7-h3-car t cells	1	PHASE1	1	1	NCT07222735	Hypofractionated Radiation in Combination With B7-H3-CAR T Cells for Pediatric Patients With Relapsed/Refractory Sarcoma
becatecarin	1	PHASE2	0	1	NCT00006102	Rebeccamycin Analogue in Treating Children With Solid Tumors or Non-Hodgkin's Lymphoma
bevacizumab [avastin]	1	PHASE2	0	1	NCT00643565	A Study of Avastin (Bevacizumab) in Combination With Standard Chemotherapy in Children and Adolescents With Sarcoma.
bi 2536	1	PHASE2	0	0	NCT00526149	BI 2536 in Treating Patients With Recurrent or Metastatic Solid Tumors
bortezomib	1	PHASE2	0	0	NCT00027716	Bortezomib in Treating Patients With Advanced or Metastatic Sarcoma
cabozantinib s-malate	1	PHASE2	1	1	NCT02867592	Cabozantinib-S-Malate in Treating Younger Patients With Recurrent, Refractory, or Newly Diagnosed Sarcomas, Wilms Tumor,
captopril	1	PHASE3	0	1	NCT00004230	Captopril in Treating Patients Undergoing Bone Marrow or Stem Cell Transplantation
caspofungin acetate	1	NA	0	1	NCT00020527	Caspofungin Acetate in Treating Children With Fever and Neutropenia
